@context,@id,@owner,@signature,@type,relationType,source,target
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Relation/f820269e-1fbb-4918-9871-b5eddf840ee4/1522269830979,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,MpNRumWxdxLrgaxZ+tECYhPdyLAYMOkZeQVQ/J0n3ik6vwFPbl+tivDRRL1knrR8PjS2jTUhePhi7Q1hQhCQa3bjCzQ+TPn5uDPMbrwK+LdQy4FdevGYVisKoz6204mEFeLGUIJQQCnk0Yg6qmhT2QvFGzOcTYluRfa3mZ8373FXIkP8vCFJSCri18xAorGTMbwBkp6nmiy3L83nk1GXQn9baJG9L8ampuDlUyu5ehYiWGJxA6pQ5PQKruXfGn+chzP36qezRyOFrOkUZ9rdGeYqkiAT5idO+UnspOsQaljEmSTnH8IHGODVzKltt0NRqzrP7ND125NJKln55Zkd9g==,Relation,narrows,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/0f157828-460d-4bb6-b9e9-4f109b14a19a,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/ed871e64-4af5-4b54-ad18-3cd937452888
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Relation/30bc1d0e-970b-4edb-82a2-e66b51d2a816/1522269834356,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,M2wvoui85KgZD684cXodYqUeNSDhRPSSSTeGQQKhK+Bteii8y8BxHTmrhhi/jnvyDHri2oIKmW7eOl4Za0gphsT8tF2oPD55PBGNgqLgsykrnNhN0J056Loc3XdnGlP7lLt0kh0rR3UprvK3G8Xzzp0kDljTmLj/JT7eyjqcJvtbTMS9nHNn7gR/pSDkcZbbkKfrvzxAvtl5BPCBDKfwF64jn3TyR56RPLrUhiMCFPETyBQXW07fXoravRp31PfihnZhxpxSl7GeeG+d9CT2jXojsW1mjKBNk5oRq5clwjHvv2Gp6VqDbPY5Pq6URdyhjNuLTi5gJa4LyQAF5FQ9fg==,Relation,narrows,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/db23fc42-473e-40ef-aabc-27cd43042980,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/ed871e64-4af5-4b54-ad18-3cd937452888
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Relation/5c31b85f-0777-42d3-9c2d-9aa7b610ce2a/1522269837623,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,EqOeIe/2CxlBifSd7+AomOPFihTrixZCaFzVw80PkzgVJ1cmIBG8BUZdxM1fxRqNxoriz/lPxY3Oiz2SPAaanB/XwbAXK355gC/Djq5zeBQnVqeKIu0oEVjt3/q+Stbmj9CJAIjv7vXZLvYHjVCfCPs6BaWs2GqPol9GOpbMkz/bS7D6gp8kzGjRs7Kr4Rd2IZ7QgtUN2GSdEe3/YjJvhEZKDq8/+Viyw4L7LOJliTjfX1LAyCWtuBurIpvPNw6KlCerUPiL8t2erGMVti3BkwCyxmJkIL8ctVhsB595BWVWZQb7QPHjNnFGIjjXKcfYRD/T3EyQ31ABIbEaaQC6gA==,Relation,narrows,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/22c152bd-2142-40aa-86fd-dde903ea6c36,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/ed871e64-4af5-4b54-ad18-3cd937452888
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Relation/45a834b5-5f65-41f4-96e9-60363d79f85f/1522269839976,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,Yt+HAUKlV7hkaRhobC29x2BmiGL2uhMxRaKzYYAWgOODh6+VQEzEPcXwWUzU+cAtJy3g22hElBiwVuIpRK8BiC8v2biO8oxRNMT6nyTZ7Kag3LvgUdeBesNlZjAeLKUhNhMS4z7g2pxQMnzPS3zSiYSd07aISoeCaJ8xHzHxri9vzF60W40yDSJW3V40Tcfm7J3I0zZHSvexmpc9LF4zd/OalN19zaqqEATfZ78nXPOGDcd3lihirhs5lExSjtkRSNOY6WEbyRmeLa/ZAIpTpx/uWUK0leg6YMHc8w+/V0VmTj/kDFDwAZ0qDuWswCvjLxmSP9GlyXKWEXjrtF5/Ww==,Relation,narrows,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/200a974e-85a1-4dfa-aeb6-799336d8fd0c,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/ed871e64-4af5-4b54-ad18-3cd937452888
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Relation/e4a7a634-9b79-4f35-84c0-47acdba54fe8/1522270280357,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,JPooP701wVdX4jBb9FMqrvOzVpnWk01n1s2BN0VqKxE+8s0AidlRVKpoGWIRU4AGIyuyovlNzsoB0xNjgIfEPZxlvw7H115abmBMJTzGMqI2mOxw5QIYrEE9ELT4yqyT9H6y/np6k6FuPxSK/YFA+mMG5dpCfnr5RxxGFO4QrBgDJHydJvn82UBhfprQDmRhthzvJznRQ8/TTG7xqvZJC/RDOpuPG+Jt+RCWiAZPhgD/eWsHv90vSxNMzOGRzlSe5T7OKB0uAsWPCPf9cPDLdcDy1lNpEagJUYKOIh+tE+tEHxrvtOhy7yzow7MXKPAuushq1JCne9IqsVatKheEjQ==,Relation,narrows,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/3be571db-2d02-482e-aa1e-655b5fa0ee93,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/00ed3d59-3afb-4e5b-9842-0251c7965a0b
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Relation/ae4596fe-d641-4ee3-98f2-7ecccf0a3596/1522270291357,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,Sop127aGfnoJj3WH3jb56SfdGjI8exAyXdXwki8brr3catjH0TYbJDr2nFBBb3WsdSFfnGwT9hpOonsVnntfQKjh5kReLl1nNwcv1JNYtsGGEa50O1rkj29JbJjEG2xSST7d2FDFYVkBh9tFIozBvM+T7ULLExPHWKoP5VJz9iGC55xTerEmBBIrsdGZZyBmVVVekzq880Rous3YE80Yhr4V0N4cx0vaqRIip+dfEBfFKgDAKeTmiNckl6x4bqgwb/5Uk6OEfokZwyrGpElJ2zbpSYPkT/6BtsnzdwNNSup2HBfYXn63HXJ1HGbfc6oX/RyJoS30dNyflf3PxUGwnw==,Relation,narrows,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/9a558235-48a5-499a-94e1-be33642422eb,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/00ed3d59-3afb-4e5b-9842-0251c7965a0b
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Relation/96a1e24e-7197-48bb-b67b-1a7901a25462/1522270301844,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,KVrCNQifTcByJ3+NbSA4jCvy+urvZhskMHwZXhVIe8/mu7whmlBCSf+CwjVbZGBng05F5fDlMyWxUk1HyT9wuaj9xvcV+fcXhgHEc+YI5AQL1LmF6rTZyoWrqvjJmQ88Kh2482uxlqAM3wa9oMYxpn+BLo9mPqHLl9NpPAQhnUDv1Cv6V1EK9/eX6/X9ZcOjU3Du6mTHGIyEjYZETcQTIj7knU4MSELDTWKeOP//MTtbmz66cNu8e3mZt4m2Ei+yWw2odHvsmRlQxGm0re2vYzRYTvC4yTrZRP1OtUo8Jn0KgTyWnvleBEyG8eO5Fx8Qm2B9scDlMCw61K2agV0qVA==,Relation,narrows,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/b524a8d6-9386-4f79-8179-02f555a7494f,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/00ed3d59-3afb-4e5b-9842-0251c7965a0b
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Relation/8d2bd68e-1c40-4dda-9403-1b3e563b2a65/1522270308415,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,pRssbw+iY7MmimtJlK+IvIua0OLDrnDC0TJX9xXdUeq93vurplxB2WAJS5PYUpP09UA08NCOpSCZ0hWmM+FW7bHaBPwTpPYqdM+qNA7816Gq6s3FQY6GZkTl/80Y+eixCa3GpzA+4A26X77UBM/IftBLxU8kq0WBiwLn3y8SL6z+t40N6mhjFEDExgXivgxL9z80iY+JjibEdjN0QJtbkhaFFAus+Z6fvEnKFzs+qyprDEuZbZGCxfnqxLGMrH/FIebM2zy3QJu10laIeopX/sO/K1yra9tuS3GNU1kkSXIz2BSk4ihquuxUTJJ7uPpVXrm05GX8l5RmFsfyc3mWKA==,Relation,narrows,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/b20e7962-e216-44ba-8e45-52db11679983,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/00ed3d59-3afb-4e5b-9842-0251c7965a0b
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Relation/d12f2411-6d95-467c-9ee7-d4afdecee0a5/1522270329143,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,G6UnZMDjaM/M/i7F8qTy8VDj9fxYC8OTRLb4ZZxjkVeXbfSLPC8SNdn3bs4ddlP4rGKNYeFBqEHNrA1zRFc5PVuVBPqSVcAaLWq77ptAjKiEDRShq/N1w2cMysjPMLNjgcVxFj0WiRfurlAEyb1cd9ENPbexhvDoggpyNdzQuZHJWo/x5hBxTr34dwdzDvuSUMPhS3MGbi3kwrNVbJXgygaH/9mQoc2agN/vC6kACS8gWyMDepdBou0RRpZm68uBCp0PV0TaUapDsfo4HBbUjV5bcpxr2y1qCaeksAb9PPyFqyPMMeAAZY/2g2yjjWOgOtAh6GsmIAZPK7VwiP1tnw==,Relation,narrows,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/888a1f22-455e-483b-aeca-3e334ab10cde,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/93dabc4c-a24f-436a-9d2e-2a2b9a94ec68
http://schema.cassproject.org/0.3,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Relation/18ac0ab0-1b78-444b-a260-54b4038436eb/1522270338248,-----BEGIN PUBLIC KEY-----MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApTxgJ6CusNFf2G07gZuMmLvPjeQnY/35pX52YN+s1o48fAHT45ryLMfHnPKPBPr6KEmHtt4vQNsh5gvx8AjpHxAltKPDqe93As8ojKVEdM30VIqImM2raBuXgbJRpuUdynVCM94+uFaeSdQhvTgGoWt0qqsJ8xlaNFMEm0Bm8ExfXSRMA+8B7oFuG6qAqW3LhwRwUhbaDLqcs5kHle4jB3PaSVLGppGWNXhpzzVM9Dt4BFKyDRKiRLf8mEkInG+VyFC0YWKQdazoe8wVVHyJD5FEVB9ptqT0PcVeU3uEip1dAtSOMoSSmCIvasS+XuNIyd6pi3QlW8jTlemqELgUcwIDAQAB-----END PUBLIC KEY-----,dyrkJenNsxzI4vLHDFvu7vgPTnbrUaizfIAcDN948d4fqVRQY+g4dKbst1MSAlxAWYiclDo+MDO7Xd2G4Tel+UWd0RlIiakcvEPMPYG54wOJ6JPwlKKoUVmP5YXwCOzrF4b2s47aM1D1QmBZiYKOeBrPpvMwJUrh08VWe0LA7MS4tWBGVyIDfjdBulH0kRFAi41jhDKxJ28ES7XWCJsA640LGDSlaUcN3Injo4Yet/1gZULyIIb+/curpTBehGOQKblwpgR/IkWZXkxxSoS07ogeAc1RLWsM/1hNPDdJkYtPe4NG6IZR9SkaJN2pi6i3uMEnIioc4geOgcuQkz3vTQ==,Relation,narrows,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/6e906ca9-8322-446d-9cf3-6955bcddba3a,https://sandbox.cassproject.org/api/custom/data/schema.cassproject.org.0.3.Competency/93dabc4c-a24f-436a-9d2e-2a2b9a94ec68
